session_id,created_at_kst,date,hour,device,source,utm,cbti_type,landing_url,referer,n_cafe_clicks,n_direction_clicks,n_map_clicks,n_filter_clicks,n_share_clicks,n_feedback,is_admin
7109d922-954e-4902-980e-7ae420b429c7,2026-06-05 16:48:39,2026-06-05,16,desktop,direct,,,,,0,0,0,0,0,0,False
9377e34e-548e-4e06-a39c-c6ced14bd5e7,2026-06-05 16:48:40,2026-06-05,16,desktop,direct,,,,,0,0,0,0,0,0,False
3436ff31-e37f-41fc-af0a-418538129d57,2026-06-05 16:53:11,2026-06-05,16,desktop,cbti,,장기 체류러,,,0,0,0,0,0,0,False
b0bf8e0f-009a-4775-ba27-4f4927e3772a,2026-06-05 17:09:48,2026-06-05,17,mobile,cbti,,장기 체류러,,,0,0,0,0,0,0,False
9706bc23-9787-4de9-903a-19e11cff4c5f,2026-06-05 22:08:50,2026-06-05,22,desktop,direct,,,,,0,0,0,0,0,0,False
a238a5ba-657a-4856-98fc-68b227a9dbbb,2026-06-05 22:08:50,2026-06-05,22,desktop,direct,,,,,0,0,0,0,0,0,False
8dfebd1a-02a0-447f-bd1f-9fce17526922,2026-06-07 21:54:30,2026-06-07,21,mobile,cbti,,감성 사냥꾼,,,0,0,0,0,0,0,False
68f0e317-f5d9-4271-b2b0-0b2f1175c000,2026-06-08 14:40:16,2026-06-08,14,mobile,direct,everytime,,,,0,0,0,0,0,0,False
87d683b9-9803-48e0-81d9-d7e83f2eea2b,2026-06-08 14:41:53,2026-06-08,14,mobile,direct,,,,,0,0,0,0,0,0,False
39dc3535-5a67-4ae7-9add-552fa25d7948,2026-06-08 14:57:05,2026-06-08,14,mobile,direct,everytime,,,,0,0,1,0,0,0,False
478a0d61-eb39-4ffe-9846-72784f10a528,2026-06-08 15:04:41,2026-06-08,15,mobile,direct,everytime,,,,0,0,2,2,0,0,False
fdcdd5ca-7804-4ab2-a05c-871f37c71398,2026-06-08 15:09:06,2026-06-08,15,mobile,cbti,everytime,사교 공부러,,,0,0,0,0,0,0,False
0a6f24d2-ceb8-4506-a142-a5cf005c8853,2026-06-08 15:31:55,2026-06-08,15,mobile,cbti,everytime,커피 본질러,,,0,0,0,0,0,0,False
d1be2db4-1fb7-4852-8bec-0d8977213278,2026-06-08 19:09:38,2026-06-08,19,desktop,cbti,,사교 공부러,,,4,1,0,3,0,0,False
c88341f7-c5e1-4d5f-9968-0b8a856e07aa,2026-06-08 19:51:24,2026-06-08,19,mobile,direct,everytime,,,,0,0,0,2,0,0,False
15f684af-4ab3-4ead-ac31-66011148bed9,2026-06-08 20:10:25,2026-06-08,20,mobile,direct,everytime,,,,0,0,0,0,0,0,False
e2ff3cde-d0f1-4aeb-b7e0-9dca6f3dc653,2026-06-08 20:23:53,2026-06-08,20,mobile,direct,everytime,,,,1,0,2,0,0,0,False
9b442b03-f9dc-4c27-8f6c-817101bb4e22,2026-06-08 20:41:46,2026-06-08,20,mobile,direct,everytime,,,,0,0,0,1,0,0,False
b01335f0-c1ef-47ad-9c7a-4383473b0f50,2026-06-08 23:24:07,2026-06-08,23,mobile,direct,everytime,,,,0,0,0,0,0,0,False
c8e79984-4fde-48e3-a598-52f7eb681ff6,2026-06-09 03:46:06,2026-06-09,03,mobile,direct,everytime,,,,0,0,0,1,0,0,False
b9a2ae42-5d7b-4a79-8299-0e6c473da9c8,2026-06-09 10:17:32,2026-06-09,10,mobile,direct,everytime,,,,0,0,0,2,0,0,False
b0f53ce0-db61-462b-861a-a480c1a019e2,2026-06-09 18:38:11,2026-06-09,18,mobile,direct,everytime,,,,0,0,0,0,0,0,False
c279b2d9-a65c-4588-b7dd-a46fd0de3d30,2026-06-09 18:38:33,2026-06-09,18,mobile,direct,everytime,,,,6,0,0,0,0,0,False
0923e790-a324-4009-b8bc-2fb4f0d537dd,2026-06-09 22:12:47,2026-06-09,22,mobile,direct,everytime,,,,0,0,0,0,0,0,False
f109ea48-e1c2-4b26-8ae5-e3c54d97b8f9,2026-06-09 22:13:16,2026-06-09,22,mobile,direct,everytime,,,,0,0,0,3,0,0,False
f3001af4-fe33-4289-ab43-bed92ffe67ae,2026-06-09 23:42:47,2026-06-09,23,desktop,direct,everytime,,,,1,0,0,1,0,0,False
09409650-e53d-43c6-bf32-1e79e24fcab5,2026-06-10 21:59:42,2026-06-10,21,mobile,direct,everytime,,,,1,0,3,0,0,0,False
5f837afa-6f55-485c-a3ae-010b0c33290b,2026-06-10 22:52:55,2026-06-10,22,mobile,direct,everytime,,,,0,0,0,0,0,0,False
5c424ff1-caed-4d6e-a3c2-23709b6e8aae,2026-06-11 09:38:08,2026-06-11,09,mobile,direct,kakaotalk,,,,0,0,0,0,0,0,False
0cdf0e0b-193e-42a3-aee0-e2382964cae5,2026-06-11 09:45:13,2026-06-11,09,mobile,direct,kakaotalk,,,,0,0,0,0,0,0,False
b4053d63-b76e-4120-bc91-b49c34d6346c,2026-06-11 09:45:29,2026-06-11,09,mobile,direct,kakaotalk,,,,0,0,0,0,0,0,False
aed78b26-5913-4d6f-909c-d6f5795d782f,2026-06-11 09:46:58,2026-06-11,09,mobile,direct,kakaotalk,,,,0,0,1,0,0,0,False
4d6747ba-51f4-4b9b-9b1c-3f86ee596c1f,2026-06-11 10:02:42,2026-06-11,10,mobile,direct,kakaotalk,,,,0,0,0,0,0,0,False
d63ae68e-eca8-4091-a721-53e22761fa55,2026-06-11 10:12:49,2026-06-11,10,mobile,direct,kakaotalk,,,,0,1,0,0,0,0,False
c33a0f17-db27-4615-aa60-6b84f1b1cfcd,2026-06-11 11:17:13,2026-06-11,11,mobile,direct,kakaotalk,,,,0,0,0,0,0,0,False
7f812322-088c-4672-9e2e-94c3bd4778df,2026-06-11 11:53:45,2026-06-11,11,mobile,direct,kakaotalk,,,,0,0,0,0,0,0,False
ee96ba6f-5272-40d3-b48c-9d93e035cfd6,2026-06-11 11:57:17,2026-06-11,11,desktop,cbti,kakaotalk,감성 사냥꾼,,,1,0,0,0,0,0,False
d7165077-cc22-4b7a-841e-eba42c6be0c9,2026-06-11 11:58:57,2026-06-11,11,desktop,cbti,kakaotalk,감성 사냥꾼,,,2,0,0,0,0,0,False
9bd326a4-bc19-4509-86d6-276595f1faea,2026-06-11 15:11:29,2026-06-11,15,mobile,direct,kakaotalk,,,,1,0,0,0,0,0,False
f112254a-6751-47e3-9192-4e59018b7105,2026-06-11 15:11:42,2026-06-11,15,mobile,direct,kakaotalk,,,,0,0,0,0,0,0,False
9b8ad87e-50da-46e7-ab06-f49ec5862b52,2026-06-11 16:09:28,2026-06-11,16,desktop,direct,admin,,,,1,0,0,0,0,0,True
